epoch,accuracy
1,0.7055500149726868
2,0.753766655921936
3,0.7651833295822144
4,0.7716000080108643
5,0.7823666930198669
6,0.7839666604995728
7,0.7823333144187927
8,0.7858833074569702
9,0.7852833271026611
10,0.7883166670799255
